Pair (A vs B),D_mean_q50,D_mean_q025,D_mean_q975,ApproxFold_q50,ApproxFold_q025,ApproxFold_q975,D_W2_q50,D_W2_q025,D_W2_q975,P(A>B)_q50,P(A>B)_q025,P(A>B)_q975,n_draws_used
priA vs recG,1.9435843238652217,1.9122849409783371,1.9866423049323414,87.8181580804796,81.71183075422526,96.97109616789078,1.9499408098206388,1.9184010691311517,1.993225864477834,0.9681350534961342,0.9629601683275768,0.973032044570825,2000
priA vs WT,1.0454440867330614,1.0179500846720497,1.091250970920231,11.103095792635965,10.421976382637729,12.338176281282621,1.0686443112078705,1.0410009325453036,1.112941705279583,0.8763649011037549,0.8654141608295702,0.8912174694695195,2000
recG vs WT,0.8981350908602393,0.880525844776644,0.9173646432242241,7.9092461332742285,7.594966188137267,8.267318659880488,0.9025544568162231,0.8892165388507387,0.9186333402660347,0.14956730023018594,0.13594807928171126,0.1569497771439894,2000
