"mu","theta","sigma","genotype"
-6.80858346867513,0.807761036869533,0.717845305508709,"wt"
-6.80336628572828,0.73631881443291,0.701412833233138,"wt"
-6.79125666222325,0.770522878425284,0.741824433027913,"wt"
-6.79125669565813,0.770524542306851,0.741825349142416,"wt"
-6.80691890164616,0.78149776252591,0.711635545219537,"wt"
-6.7929154421894,0.793437781036615,0.747480728321044,"wt"
-6.79908005687003,0.775095918703927,0.726649218717615,"wt"
-6.79907962482993,0.775094071221439,0.726648425691405,"wt"
-6.79908020539952,0.775097090514667,0.726649190851524,"wt"
-6.79125672100155,0.770525412015081,0.741825575059536,"wt"
-6.8085831746839,0.80776216523623,0.717845885401233,"wt"
-6.80336629434046,0.736318845254762,0.701412821220612,"wt"
-6.80074219380552,0.799508543808623,0.732542640342509,"wt"
-6.79291514597114,0.793442915707274,0.747483180682788,"wt"
-6.79907988701873,0.775094961692194,0.726648242946884,"wt"
-6.8051794408225,0.75782423575832,0.70619994222167,"wt"
-6.7990799120805,0.77509674166898,0.726649336562035,"wt"
-6.80074209820118,0.799508193518481,0.732542617023769,"wt"
-6.80691888306358,0.781497235010008,0.711635238588306,"wt"
-6.79907951731689,0.775094212771529,0.726648622471038,"wt"
-6.80691859968274,0.781495642846899,0.711634506905316,"wt"
-6.80074256428816,0.799503221486377,0.732540035401882,"wt"
-6.78509998895064,0.789176239060565,0.762610827868282,"wt"
-6.80858342320361,0.807762706941808,0.71784614825315,"wt"
-6.80336646655475,0.736317143112717,0.701411887947629,"wt"
-6.79907976690702,0.775096487917228,0.726649335600923,"wt"
-6.80691899592916,0.781497487654603,0.711635437665422,"wt"
-6.79291517200022,0.793444006400901,0.747483970878342,"wt"
-6.80074216890975,0.79950709124197,0.732542073896525,"wt"
-6.7973458021139,0.7529542690989,0.721452408358636,"wt"
-6.80517947947569,0.757825722349761,0.706200895771511,"wt"
-6.79125662913852,0.770523089877137,0.741824851645456,"wt"
-6.8007419241964,0.799507649437219,0.73254179665184,"wt"
-6.80691906619378,0.781499773434666,0.711636703417255,"wt"
-6.80517951190487,0.757826362240888,0.70620133387224,"wt"
-6.80691889172276,0.781498240962351,0.711635741808166,"wt"
-6.79907941966105,0.775092472575366,0.726647519284268,"wt"
-6.80074211588078,0.799508169483095,0.732542579841471,"wt"
-6.80074212428323,0.799508159481531,0.732542360293227,"wt"
-6.79734570918832,0.75295483348129,0.721452732198094,"wt"
-6.79908004439628,0.775096744204693,0.726649114190633,"wt"
-6.7990799107038,0.775096289238661,0.726646781857269,"wt"
-6.79907972628336,0.775094649890912,0.726648068298775,"wt"
-6.79734577167303,0.752953647395782,0.721452296830867,"wt"
-6.80691912765789,0.781492736231681,0.711633287823243,"wt"
-6.79734581721121,0.752954409205773,0.721452618224176,"wt"
-6.79291515240131,0.793443476101216,0.74748372504271,"wt"
-6.79907984758344,0.775097796718342,0.726649979576619,"wt"
-6.79907977573988,0.775096623968435,0.726649364039456,"wt"
-6.79734548936125,0.752958462521898,0.721453529519236,"wt"
-6.80074183774076,0.799507256428784,0.732542200732194,"wt"
-6.79907980669811,0.775096413979623,0.726649126840435,"wt"
-6.79125653637134,0.770522259092834,0.741824119581625,"wt"
-6.80336655777107,0.736318446553037,0.701412524169381,"wt"
-6.8007422407021,0.799508335461198,0.73254248785343,"wt"
-6.80074206738207,0.799508106516125,0.732542480244567,"wt"
-6.80691895978328,0.781495635766206,0.711634696283796,"wt"
-6.79734577212899,0.752954536592607,0.721452693595797,"wt"
-6.80074214089595,0.799507568513221,0.732542150880417,"wt"
-6.80336622229133,0.736315830485656,0.701411428267499,"wt"
-6.79907988193851,0.775097343269393,0.72664970002491,"wt"
-6.80074209290659,0.799508515674397,0.732542765476343,"wt"
-6.79907985395989,0.775097946747006,0.726650023885513,"wt"
-6.80691891988867,0.781496610552425,0.711634935930244,"wt"
-6.7973458488181,0.752952574401565,0.721451702487686,"wt"
-6.79125691890963,0.770522109526287,0.741824277511139,"wt"
-6.80517945136063,0.757823333176077,0.706199765241372,"wt"
-6.80517937646186,0.757824612441245,0.706200211528016,"wt"
-6.79291508792461,0.793443237026807,0.747483619468476,"wt"
-6.80691891637406,0.781498467899028,0.711635871563763,"wt"
-6.80074213058047,0.79950758364659,0.732542364804937,"wt"
-6.79907978476369,0.775096618286294,0.726649507336988,"wt"
-6.80517940396971,0.75782547835993,0.706200755829953,"wt"
-6.80074217525696,0.799506584976407,0.732541307125136,"wt"
-6.7990798521092,0.775097575082069,0.726649806038786,"wt"
-6.79291532282412,0.793444427147621,0.747484102698675,"wt"
-6.80517934026439,0.757826689846539,0.706201292058136,"wt"
-6.80517934004698,0.757823252458601,0.70619988673567,"wt"
-6.799080070702,0.77509467645856,0.726648534305749,"wt"
-6.79907961971001,0.775095587690024,0.726648246509468,"wt"
-6.79907984149778,0.77509791134334,0.726650011129238,"wt"
-6.79125670612722,0.770525479029364,0.74182587680114,"wt"
-6.79734582636404,0.752954140024218,0.721452420691056,"wt"
-6.80691885431573,0.781497377246755,0.711635381140714,"wt"
-6.8033662895809,0.73631886138913,0.701412830848793,"wt"
-6.80074201974559,0.799505902956285,0.732541406600943,"wt"
-6.80691865153094,0.7815014608798,0.711637018437126,"wt"
-6.80858351930297,0.807761867969457,0.717845605695418,"wt"
-6.79907975724914,0.775094123786402,0.726648006037764,"wt"
-6.79125682783311,0.770523719511632,0.741824960156285,"wt"
-6.79291526146829,0.793443932000127,0.747484208744591,"wt"
-6.80336640001543,0.736316928765503,0.701411847811376,"wt"
-6.79907931163556,0.775095613799781,0.726648660552345,"wt"
-6.7912567061506,0.77052549808674,0.74182588373915,"wt"
-6.79907984103136,0.775098038675519,0.726650076399571,"wt"
-6.79907977165727,0.775097360832225,0.726649763939398,"wt"
-6.79125671696689,0.770525035053344,0.74182570715875,"wt"
-6.80691902236789,0.781495955055797,0.711634622395677,"wt"
-6.80074202814294,0.799507457572237,0.732542306503119,"wt"
-6.80074206589108,0.799508463505856,0.732542737855094,"wt"
-6.80074220268035,0.79950651263657,0.732542000520191,"wt"
-6.7929151839076,0.793444023302764,0.747483989219399,"wt"
-6.79907985519462,0.775097917809474,0.726650008630675,"wt"
-6.79291522794563,0.793443646210919,0.747483800400361,"wt"
-6.80691892955385,0.781497608330408,0.711635431975002,"wt"
-6.78509976085837,0.789174207041215,0.762609622542919,"wt"
-6.79907998515487,0.775094538539225,0.726648533325058,"wt"
-6.7929151714425,0.793443995128673,0.747483963918303,"wt"
-6.79734562724892,0.752953961436302,0.721452504496883,"wt"
-6.80691919929206,0.781496641506062,0.711634779387918,"wt"
-6.80074207806623,0.799508484710353,0.732542708534302,"wt"
-6.80691921716435,0.78149798534775,0.711635517731526,"wt"
-6.79291551859938,0.793439953541066,0.747481855508649,"wt"
-6.79907985865111,0.775097980574815,0.726650046290144,"wt"
-6.79907975035466,0.775095783889168,0.726649126452599,"wt"
-6.80517939774967,0.757825356969805,0.706200726577383,"wt"
-6.7990796959888,0.775097974721618,0.726649620294045,"wt"
-6.80074203651757,0.799508669323119,0.732542752444251,"wt"
-6.80858363071799,0.807758993414316,0.717844386623903,"wt"
-6.79125675705272,0.770525197243591,0.741825722159922,"wt"
-6.79125681737075,0.770523584104266,0.741825106689005,"wt"
-6.79907985812598,0.775095989410959,0.726649202492697,"wt"
-6.80074149728588,0.79950577708898,0.732540827248741,"wt"
-6.79291484102604,0.793440484360319,0.747482044935988,"wt"
-6.79125685303586,0.770524422286082,0.741825385454091,"wt"
-6.8051793123193,0.757823252477774,0.70619964337262,"wt"
-6.79125667288359,0.770525078145892,0.741825699723409,"wt"
-6.79907966484555,0.775098112075781,0.726649839684232,"wt"
-6.79125633087392,0.770525903116507,0.741825798419696,"wt"
-6.79291504146647,0.793442105782608,0.747482999093719,"wt"
-6.79908014733083,0.775097534257632,0.726650053800855,"wt"
-6.79125671616915,0.770523796495038,0.741825123131189,"wt"
-6.80691879052765,0.781496570630142,0.711635002195718,"wt"
-6.79907968880239,0.775096632439991,0.726649328120483,"wt"
-6.80517936386032,0.757825135444469,0.706200612106135,"wt"
-6.80858360716854,0.807760192129616,0.717845188136607,"wt"
-6.79907984662719,0.775097995118129,0.726650007227061,"wt"
-6.79125670020361,0.770521668823346,0.741823816847024,"wt"
-6.79734585959678,0.752951156092653,0.721451035151758,"wt"
-6.80691907939213,0.781495218221542,0.711634308238948,"wt"
-6.79907980505949,0.7750979406442,0.726649990883062,"wt"
-6.79908002573525,0.775093967191009,0.726648369111464,"wt"
-6.80336579691422,0.736317094619204,0.701412046082681,"wt"
-6.80074223382328,0.799507675127357,0.732542303446931,"wt"
-6.80074224113273,0.799505153021676,0.732541063787285,"wt"
-6.79291456512949,0.793438154857941,0.74748092388923,"wt"
-6.79907986522721,0.775097977250181,0.726650117141607,"wt"
-6.80517940189545,0.757825195131698,0.706200633687626,"wt"
-6.80517901698429,0.757824461031112,0.706200167480177,"wt"
-6.79907986307838,0.775097260610128,0.726649656148802,"wt"
-6.79907951267197,0.775095099666096,0.726648785786607,"wt"
-6.79907986420296,0.775097178748907,0.726649701431944,"wt"
-6.79291522653001,0.793443847620344,0.747483907800582,"wt"
-6.79734583565251,0.752954642748506,0.721452719762899,"wt"
-6.7990799437297,0.775097848892802,0.726649942616691,"wt"
-6.8051796975436,0.757822811864356,0.706199191660363,"wt"
-6.808583410986,0.80776242078097,0.717846073742092,"wt"
-6.79125670623375,0.77052546433188,0.741825869310547,"wt"
-6.79907985000599,0.775097280648774,0.726649685285468,"wt"
-6.79907980190829,0.775091258430161,0.726646889819479,"wt"
-6.80074218171527,0.799507505842064,0.732542248514089,"wt"
-6.80517925084126,0.75782497112989,0.706200478237806,"wt"
-6.80517939848424,0.757825469750256,0.706200786582926,"wt"
-6.80858341249494,0.807762332178866,0.717846000185137,"wt"
-6.79907963112748,0.775095627507633,0.72664904948528,"wt"
-6.79734574235683,0.752951628985725,0.721451419912636,"wt"
